batter,pressure_score,impact_score,batsman_runs,clutch_index
Naveen-ul-Haq,3.0,1.4615384615384615,18,5.384615384615385
DS Lehmann,0.631578947368421,3.736842105263158,18,5.347368421052632
P Sahu,3.3076923076923075,0.5384615384615384,19,5.338461538461539
A Singh,3.9,8.35,2,5.300000000000001
A Mukund,0.6521739130434783,3.0869565217391304,19,5.2956521739130435
Arjun Tendulkar,3.4444444444444446,3.2222222222222223,13,5.2666666666666675
Yash Dayal,4.0,7.0,4,5.2
DR Martyn,0.9230769230769231,2.5576923076923075,19,5.1923076923076925
Sumit Kumar,1.9615384615384615,1.9807692307692308,18,5.176923076923077
JL Pattinson,3.4615384615384617,1.9230769230769231,15,5.153846153846154
MDKJ Perera,0.8461538461538461,5.038461538461538,14,5.153846153846154
JA Richardson,1.2592592592592593,3.0925925925925926,17,5.140740740740741
T Banton,0.6818181818181818,3.159090909090909,18,5.136363636363637
M Theekshana,2.7058823529411766,1.6029411764705883,17,5.123529411764706
Y Gnaneswara Rao,0.5555555555555556,2.6944444444444446,19,5.1000000000000005
K Kartikeya,3.0555555555555554,3.638888888888889,12,5.077777777777778
AJ Hosein,3.230769230769231,0.46153846153846156,18,5.076923076923077
BAW Mendis,4.166666666666667,7.0,3,5.066666666666666
YV Dhull,0.6956521739130435,3.9565217391304346,16,5.060869565217391
Simarjeet Singh,3.2666666666666666,4.366666666666666,10,5.053333333333333
Arshad Khan (2),4.0,6.125,5,5.050000000000001
JR Hazlewood,2.4838709677419355,0.4838709677419355,19,4.987096774193549
KS Sharma,0.72,3.6,16,4.928000000000001
DV Malewar,1.4,9.9,2,4.920000000000001
CK Langeveldt,2.7777777777777777,5.5,8,4.911111111111111
Ankit Soni,4.0,4.722222222222222,7,4.888888888888889
DG Nalkande,1.0,5.166666666666667,12,4.866666666666667
FA Allen,2.736842105263158,2.3684210526315788,14,4.842105263157896
JPR Scantlebury-Searles,3.8333333333333335,4.25,8,4.833333333333334
P Ray Barman,0.64,1.82,19,4.784000000000001
Mohammad Asif,2.6666666666666665,7.75,3,4.7666666666666675
J Theron,3.6923076923076925,3.1538461538461537,10,4.7384615384615385
PV Tambe,2.923076923076923,-0.1282051282051282,18,4.717948717948718
AN Ghosh,1.125,7.0,7,4.65
Virat Singh,0.7307692307692307,3.3846153846153846,15,4.6461538461538465
DNT Zoysa,3.0,3.111111111111111,11,4.644444444444445
SD Lad,0.7692307692307693,3.269230769230769,15,4.615384615384615
BE Hendricks,4.333333333333333,6.666666666666667,1,4.6000000000000005
LE Plunkett,4.333333333333333,6.666666666666667,1,4.6000000000000005
DJ Muthuswami,4.333333333333333,6.666666666666667,1,4.6000000000000005
VY Mahesh,2.75,1.2142857142857142,15,4.585714285714285
T Thushara,3.6842105263157894,1.736842105263158,12,4.56842105263158
R Minz,1.45,3.925,12,4.550000000000001
AA Chavan,2.8181818181818183,2.5,12,4.527272727272727
Mustafizur Rahman,3.8333333333333335,0.9791666666666666,13,4.525
GC Viljoen,4.0,5.785714285714286,3,4.514285714285714
Jaskaran Singh,3.272727272727273,4.0,8,4.50909090909091
MP Breetzke,0.6666666666666666,3.5,14,4.466666666666667
GR Napier,1.3125,2.3125,15,4.45
T Kohli,2.0,3.575,11,4.430000000000001
KAJ Roach,2.888888888888889,3.0,10,4.355555555555556
Shoaib Ahmed,3.5,6.833333333333333,1,4.333333333333334
MJ Henry,2.5,4.8,7,4.32
SJ Srivastava,3.6,4.7,5,4.32
VG Arora,3.142857142857143,2.5357142857142856,10,4.271428571428571
P Chopra,1.0,5.666666666666667,8,4.2666666666666675
RP Meredith,4.666666666666667,6.0,0,4.2666666666666675
R Smaran,0.8421052631578947,3.236842105263158,13,4.231578947368421
L Wood,3.0,3.0,9,4.2
Pankaj Singh,3.8333333333333335,3.125,7,4.183333333333334
P Awana,4.071428571428571,3.857142857142857,5,4.171428571428572
Liton Das,1.25,7.125,4,4.15
VS Malik,3.5714285714285716,3.2857142857142856,7,4.142857142857143
DT Patil,0.7692307692307693,3.0384615384615383,13,4.1230769230769235
DR Shorey,0.65,3.15,13,4.12
GD McGrath,4.2,4.1,4,4.12
L Ngidi,4.0,4.222222222222222,4,4.0888888888888895
FH Edwards,4.0,4.2,4,4.08
S Randiv,4.25,4.875,2,4.050000000000001
C Madan,0.6666666666666666,1.9285714285714286,15,4.038095238095238
GHS Garton,4.0,5.0,2,4.0
KP Appanna,3.75,5.125,2,3.95
MP Yadav,3.8333333333333335,3.5,5,3.9333333333333336
RK Bhui,1.0740740740740742,3.7222222222222223,10,3.9185185185185185
Karanveer Singh,2.411764705882353,1.3235294117647058,12,3.894117647058824
AG Murtaza,3.642857142857143,1.0357142857142858,10,3.871428571428572
K Upadhyay,3.3333333333333335,0.3333333333333333,12,3.866666666666667
M Ntini,3.8421052631578947,0.2631578947368421,11,3.842105263157895
BB Sran,3.4285714285714284,1.1428571428571428,10,3.8285714285714283
DAJ Bracewell,3.111111111111111,0.4444444444444444,12,3.822222222222223
KT Maphaka,3.0,2.5,8,3.8000000000000003
D du Preez,2.6153846153846154,1.7692307692307692,10,3.753846153846154
PWA Mulder,3.0833333333333335,1.6666666666666667,9,3.7
AR Bawne,3.3333333333333335,-0.16666666666666666,12,3.666666666666667
Musheer Khan,1.6666666666666667,7.5,0,3.666666666666667
SMSM Senanayake,3.5294117647058822,0.5882352941176471,10,3.647058823529412
M Prasidh Krishna,3.7916666666666665,0.75,9,3.6166666666666667
Mukesh Kumar,3.5,0.25,10,3.5
TM Srivastava,2.5454545454545454,2.090909090909091,8,3.454545454545455
H Das,4.0,3.6,2,3.44
T Henderson,0.75,2.21875,11,3.3875
A Uniyal,3.7142857142857144,2.5714285714285716,4,3.314285714285714
A Chandila,3.7142857142857144,2.5714285714285716,4,3.314285714285714
