batter,batsman_runs,impact_score,pressure_score,momentum,is_wicket,player_rating
VR Aaron,50,0.5753424657534246,3.643835616438356,0.4383561643835616,4,18.46027397260274
SB Bangar,49,2.939655172413793,1.8275862068965518,0.39655172413793105,6,18.329741379310345
AG Paunikar,49,2.8852459016393444,0.7377049180327869,0.5081967213114754,5,18.12049180327869
M Markande,48,1.6477272727272727,3.3863636363636362,0.8863636363636364,3,18.066477272727266
T Kohler-Cadmore,48,2.3703703703703702,0.7037037037037037,0.6296296296296297,3,17.659259259259255
D Pretorius,44,4.107142857142857,3.642857142857143,0.8571428571428571,4,17.326785714285712
Yashpal Singh,47,1.9179104477611941,1.2537313432835822,0.43283582089552236,4,17.266791044776117
DR Sams,44,5.333333333333333,2.5,-0.041666666666666664,10,17.224999999999998
Ravi Bishnoi,45,3.2464788732394365,3.1549295774647885,-0.09859154929577464,11,17.17288732394366
TL Seifert,45,4.3977272727272725,1.0909090909090908,0.45454545454545453,6,17.158522727272725
Sunny Singh,43,4.564516129032258,1.4838709677419355,0.7741935483870968,4,16.642741935483873
Rasikh Salam,43,3.104651162790698,2.604651162790698,0.4883720930232558,5,16.444767441860463
SK Trivedi,42,2.4262295081967213,3.7704918032786887,0.11475409836065574,8,16.08360655737705
Umar Gul,39,5.2105263157894735,3.6315789473684212,1.5263157894736843,3,15.984210526315788
MD Shanaka,42,2.723684210526316,1.8157894736842106,0.7368421052631579,3,15.891447368421051
AUK Pathan,39,5.961538461538462,2.1923076923076925,0.6538461538461539,5,15.709615384615383
A Nehra,41,2.2777777777777777,3.746031746031746,0.14285714285714285,8,15.697222222222223
AB Barath,42,2.1744186046511627,0.9069767441860465,0.7906976744186046,2,15.583139534883722
LPC Silva,40,3.314814814814815,1.5185185185185186,1.2222222222222223,2,15.376851851851853
BR Dunk,40,3.4305555555555554,0.6388888888888888,0.8055555555555556,3,15.146527777777779
S Nadeem,39,3.590909090909091,3.2386363636363638,-0.38636363636363635,16,15.118181818181817
MM Patel,39,2.7560975609756095,3.4390243902439024,0.36585365853658536,5,15.099999999999998
J Yadav,40,1.5394736842105263,2.710526315789474,0.8421052631578947,2,15.095394736842106
S Narwal,37,4.068965517241379,2.586206896551724,0.6551724137931034,4,14.61551724137931
